Ticker,Recent,1M,3M,6M,12M
MHK,169.28,142.51,92.21,86.01,135.53
MKC,89.65,94.56,92.835,97.17,83.705
MKTX,552.55,562.27,557.02,517.39,352.04
MLM,330.83,280.94,247.45,214.13,260.65
MMC,112.8,115.01,107.53,115.58,115.94
MMM,178.7,174.11,158.53,156.25,162.0
MNST,91.73,91.46,77.37,77.31,66.55
MO,43.4,40.74,36.72,41.63,50.11
MOS,29.27,22.16,18.07,13.98,19.31
MPC,50.46,41.57,27.5,39.91,53.59
MRK,75.0,80.59,76.18,79.35,87.24
MRO,8.97,6.8,3.85,5.74,11.75
MS,74.61,67.84,47.57,50.59,53.68
MSCI,434.77,436.99,340.68,383.02,282.28
MSFT,244.99,221.68,202.68,204.06,168.04
MSI,181.07,166.98,164.49,140.04,179.42
MTB,142.23,125.64,96.78,106.82,169.1
MTD,1220.66,1133.88,1009.26,898.08,802.62
MU,88.01,71.92,50.0,50.39,55.3
MXIM,96.22,87.52,68.77,69.9,61.53
NCLH,23.54,25.64,15.03,14.34,56.02
NDAQ,141.99,130.14,121.73,131.01,115.34
NEE,83.13,75.91,74.46,70.36,66.44
NEM,58.94,60.39,58.65,67.89,44.62
NFLX,556.52,524.59,486.24,484.48,343.16
NI,22.53,22.55,23.18,24.76,29.19
NKE,142.12,141.58,122.08,96.97,99.84
NLOK,21.47,20.75,20.42,21.18,27.68
NLSN,23.78,20.55,13.92,14.6,20.54
NOC,297.36,302.61,293.66,315.26,382.65
NOV,13.94,13.82,8.01,11.69,20.72
NOW,591.29,547.38,484.05,445.71,312.93
NRG,43.04,36.36,31.13,33.64,37.16
NSC,254.84,235.98,198.11,192.82,214.83
NTAP,69.86,65.33,42.29,42.43,55.54
NTRS,98.14,91.92,77.8,79.26,99.64
NUE,56.34,52.94,46.58,43.26,48.06
NVDA,598.45,525.83,505.08,418.62,245.54
NVR,4700.02,4127.6602,3983.3799,3934.0,3898.5601
NWL,24.19,21.08,16.66,17.6,19.86
NWS,23.5,17.91,12.88,12.86,13.79
NWSA,23.72,18.03,12.97,12.87,13.37
O,62.46,61.28,57.81,60.62,78.14
ODFL,212.21,193.62,186.66,182.32,135.28
OKE,45.11,38.12,29.09,29.72,74.94
OMC,66.25,61.89,46.09,54.02,76.21
ORCL,63.08,64.4,55.59,55.7,53.2
ORLY,433.05,451.8,442.39,455.77,424.13
OTIS,63.93,66.72,58.99,64.3
OXY,25.39,17.91,8.88,17.03,40.47
PAYC,412.98,447.91,371.55,294.42,322.05
PAYX,89.4,92.14,80.15,73.55,87.4
PBCT,15.15,12.95,10.53,11.47,15.71
